id,user_id,title,description,status,video_data,category_id,thumbnail,created_at,updated_at,published_at,views,rating_sum,rating_count
I7mUHazhS9WI,93241530-2b99-4e2e-8e9e-02db2e4b345a,Untitled,This is a description,draft,"[{""volume"": 100, ""endTime"": 66, ""videoId"": ""1_9RzbkETVg"", ""startTime"": 0, ""playbackSpeed"": 1}, {""volume"": 100, ""endTime"": 180, ""videoId"": ""03HomOQeirg"", ""startTime"": 0, ""playbackSpeed"": 1}, {""volume"": 100, ""endTime"": 51, ""videoId"": ""u01pQX7Bsp0"", ""startTime"": 0, ""playbackSpeed"": 1}, {""volume"": 100, ""endTime"": 159, ""videoId"": ""yalgajSyYfU"", ""startTime"": 0, ""playbackSpeed"": 1}, {""volume"": 100, ""endTime"": 34, ""videoId"": ""KwGNDJfSmFk"", ""startTime"": 0, ""playbackSpeed"": 1}, {""volume"": 100, ""endTime"": 190, ""videoId"": ""ZPGi2yBqdqw"", ""startTime"": 0, ""playbackSpeed"": 1}]",0,https://img.youtube.com//vi/1_9RzbkETVg/mqdefault.jpg,2026-04-20 01:30:04.918464+00,2026-04-20 01:30:04.918464+00,,0,0,0
5Tec6SSEzqlX,93241530-2b99-4e2e-8e9e-02db2e4b345a,Warm Rainfall Scene,This is a description,draft,"[{""volume"":23,""endTime"":154,""videoId"":""yalgajSyYfU"",""startTime"":102,""playbackSpeed"":1.15},{""volume"":84,""endTime"":145,""videoId"":""ZPGi2yBqdqw"",""startTime"":63,""playbackSpeed"":0.35}]",0,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2024-11-01 11:07:54.750+00,2024-11-14 16:03:37.791+00,,0,0,0
RAlucK7GTAwP,93241530-2b99-4e2e-8e9e-02db2e4b345a,Ambient Lodge Ambiance,Ideal for meditation and relaxation.,published,"[{""volume"":87,""endTime"":91,""videoId"":""yalgajSyYfU"",""startTime"":14,""playbackSpeed"":1.65},{""volume"":60,""endTime"":32,""videoId"":""KwGNDJfSmFk"",""startTime"":7,""playbackSpeed"":1.35}]",199,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2025-10-06 09:01:27.361+00,2025-11-05 06:17:18.816+00,2025-11-12 04:32:20.982+00,4684,138,36
Akzz7jSpjVZJ,93241530-2b99-4e2e-8e9e-02db2e4b345a,Dreamy Rainfall Retreat,Immerse yourself in this ambient soundscape.,draft,"[{""volume"":74,""endTime"":180,""videoId"":""03HomOQeirg"",""startTime"":159,""playbackSpeed"":1.2},{""volume"":41,""endTime"":28,""videoId"":""KwGNDJfSmFk"",""startTime"":19,""playbackSpeed"":1.4}]",0,https://img.youtube.com//vi/03HomOQeirg/mqdefault.jpg,2024-01-29 00:37:39.527+00,2024-02-25 03:07:11.015+00,,0,0,0
rCx5BndVysYN,93241530-2b99-4e2e-8e9e-02db2e4b345a,Midnight Campfire Vibes,A blend of nature and warmth.,published,"[{""volume"":85,""endTime"":174,""videoId"":""03HomOQeirg"",""startTime"":156,""playbackSpeed"":0.55},{""volume"":68,""endTime"":65,""videoId"":""1_9RzbkETVg"",""startTime"":42,""playbackSpeed"":1.9},{""volume"":47,""endTime"":51,""videoId"":""u01pQX7Bsp0"",""startTime"":34,""playbackSpeed"":1.25}]",172,https://img.youtube.com//vi/03HomOQeirg/mqdefault.jpg,2023-10-12 07:45:31.618+00,2023-11-10 19:58:37.882+00,2023-11-11 13:06:17.546+00,8776,40,12
yLc7nZimERDF,93241530-2b99-4e2e-8e9e-02db2e4b345a,Warm Cabin Vibes,Sit back and let the ambiance take over.,published,"[{""volume"":68,""endTime"":21,""videoId"":""u01pQX7Bsp0"",""startTime"":6,""playbackSpeed"":1.7},{""volume"":56,""endTime"":127,""videoId"":""03HomOQeirg"",""startTime"":32,""playbackSpeed"":0.3},{""volume"":92,""endTime"":187,""videoId"":""ZPGi2yBqdqw"",""startTime"":169,""playbackSpeed"":1.45}]",116,https://img.youtube.com//vi/u01pQX7Bsp0/mqdefault.jpg,2026-10-23 11:13:46.084+00,2026-10-27 14:33:16.036+00,2026-10-30 12:03:12.033+00,1617,29,23
B4uhneCGkpjm,93241530-2b99-4e2e-8e9e-02db2e4b345a,Peaceful Garden Ambiance,Crafted for comfort and concentration.,published,"[{""volume"":71,""endTime"":17,""videoId"":""KwGNDJfSmFk"",""startTime"":8,""playbackSpeed"":1.05},{""volume"":20,""endTime"":157,""videoId"":""03HomOQeirg"",""startTime"":111,""playbackSpeed"":1.2},{""volume"":72,""endTime"":64,""videoId"":""1_9RzbkETVg"",""startTime"":18,""playbackSpeed"":1.95},{""volume"":68,""endTime"":35,""videoId"":""u01pQX7Bsp0"",""startTime"":3,""playbackSpeed"":1.9}]",150,https://img.youtube.com//vi/KwGNDJfSmFk/mqdefault.jpg,2025-06-23 19:39:54.671+00,2025-07-05 09:32:53.442+00,2025-07-07 16:22:35.507+00,4145,342,176
yFmP9FCTCtt3,93241530-2b99-4e2e-8e9e-02db2e4b345a,Ambient Study Lounge,Crafted for comfort and concentration.,published,"[{""volume"":42,""endTime"":49,""videoId"":""1_9RzbkETVg"",""startTime"":20,""playbackSpeed"":0.95},{""volume"":56,""endTime"":115,""videoId"":""03HomOQeirg"",""startTime"":39,""playbackSpeed"":0.3},{""volume"":30,""endTime"":113,""videoId"":""yalgajSyYfU"",""startTime"":26,""playbackSpeed"":1.05},{""volume"":44,""endTime"":34,""videoId"":""u01pQX7Bsp0"",""startTime"":24,""playbackSpeed"":1.95},{""volume"":31,""endTime"":148,""videoId"":""ZPGi2yBqdqw"",""startTime"":89,""playbackSpeed"":0.65}]",193,https://img.youtube.com//vi/1_9RzbkETVg/mqdefault.jpg,2025-03-23 09:59:05.049+00,2025-04-21 12:09:53.059+00,2025-04-23 08:37:29.853+00,6447,442,151
tVWpS39MUVq8,93241530-2b99-4e2e-8e9e-02db2e4b345a,Chill Lakeside Lounge,Crafted for comfort and concentration.,draft,"[{""volume"":30,""endTime"":128,""videoId"":""03HomOQeirg"",""startTime"":74,""playbackSpeed"":1.7},{""volume"":60,""endTime"":16,""videoId"":""u01pQX7Bsp0"",""startTime"":3,""playbackSpeed"":1.95},{""volume"":24,""endTime"":153,""videoId"":""yalgajSyYfU"",""startTime"":13,""playbackSpeed"":1.45},{""volume"":39,""endTime"":22,""videoId"":""KwGNDJfSmFk"",""startTime"":10,""playbackSpeed"":0.9}]",0,https://img.youtube.com//vi/03HomOQeirg/mqdefault.jpg,2023-07-15 20:13:50.082+00,2023-07-20 16:25:40.903+00,,0,0,0
J04EZBYgl0YG,93241530-2b99-4e2e-8e9e-02db2e4b345a,Twilight Café,Background sounds for a productive day.,published,"[{""volume"":77,""endTime"":48,""videoId"":""1_9RzbkETVg"",""startTime"":18,""playbackSpeed"":1.3},{""volume"":92,""endTime"":34,""videoId"":""KwGNDJfSmFk"",""startTime"":13,""playbackSpeed"":1.95},{""volume"":61,""endTime"":31,""videoId"":""u01pQX7Bsp0"",""startTime"":22,""playbackSpeed"":1.7},{""volume"":25,""endTime"":154,""videoId"":""yalgajSyYfU"",""startTime"":135,""playbackSpeed"":1.7},{""volume"":49,""endTime"":166,""videoId"":""03HomOQeirg"",""startTime"":54,""playbackSpeed"":1.75}]",200,https://img.youtube.com//vi/1_9RzbkETVg/mqdefault.jpg,2026-10-15 21:34:39.663+00,2026-11-05 22:46:19.926+00,2026-11-11 01:05:14.294+00,891,85,61
