,File Name,Author,Source Url,Alt
,,,,
Moods,moods.jpg,,,"A collage of mood-related images with a woven hammock tied between trees in the center, a peaceful rock garden on the left, and a modern apartment building at dusk on the right."
Relaxing,relaxing.jpg,Syuhei Inoue,https://unsplash.com/photos/green-hammock-tied-on-tree-trunk-near-body-of-water-during-daytime-Rdt8sDsFFwk,"A white woven hammock hangs between two trees in a lush lakeside park, inviting peaceful relaxation on a bright, sunny summer day."
,relaxing2.jpg,Cory Bjork,https://unsplash.com/photos/a-hammock-between-two-palm-trees-on-the-beach-QjyliS_Dmas,"Empty woven hammock between palm trees on a tropical resort lawn, with ocean waves, thatched huts, and a peaceful beach atmosphere."
Upbeat,upbeat.jpg,,https://pixabay.com/photos/jump-sky-man-clouds-height-girl-2731641/,"Two people leap joyfully against a blue sky: a man in a red shirt and shorts and a woman in a polka-dot dress, both raising their arms."
Zen,zen.jpg,Ray Wyman Jr,https://unsplash.com/photos/a-japanese-garden-with-rocks-and-a-building-OmY2XArLKcs,"Serene Japanese Zen rock garden with raked gravel, sculpted stones, and a traditional temple pavilion amid lush trees; tranquil atmosphere."
,zen2.jpg,DerWeg,https://pixabay.com/photos/temple-garden-gate-kyoto-japan-3851225/,"Traditional Japanese temple gate with an ornate curved roof, stone garden, raked gravel, pine trees, and moss creating a serene atmosphere."
Melanchoic,melancholic.jpg,Elina Volkova,https://www.pexels.com/photo/a-building-in-a-city-at-dusk-17572905/,"Dusk view of a gray apartment building framed by dark trees, with several warmly lit windows glowing against the cool, moody evening sky."
Chaotic,chaotic.jpg,Sen Sen,https://www.pexels.com/photo/close-up-shot-of-an-abstract-painting-9902081/,"Abstract expressionist painting with layered splashes and drips of blue, red, white, black, and gray, creating a chaotic, energetic texture."
Dark,dark.jpg,Mathias Reding,https://www.pexels.com/photo/bare-trees-under-white-sky-10974341/,"Fog-shrouded forest of tall, leafless trees under a gray sky, creating a quiet, eerie, and mysterious atmosphere."
Liminal,liminal.jpg,Sam Operchuck,https://unsplash.com/photos/an-empty-parking-garage-with-an-escalator-aaTFObM39wo,"Empty escalators descend into a large dark room, lit by fluorescent lights; teal tones and shadows create a quiet, eerie mood."
,liminal2.jpg,Franco Garcia,https://www.pexels.com/photo/hallway-toward-a-door-14030612/,"Dimly lit, sepia-toned hallway with a dark doorway, wooden floors, beige walls, and metal handrails creating a quiet, eerie mood."
Other Moods,other_moods.jpg,Lisa Fotios,https://www.pexels.com/photo/elegant-venetian-masks-in-mysterious-dark-setting-30937067/,"Two ornate Venetian carnival masks—one green and gold, one white and red—overlap against a shadowy vintage backdrop, evoking mystery."
,,,,
,,,,
Rooms,rooms.jpg,Rahul Pundit,https://www.pexels.com/photo/bench-seat-with-a-bookshelf-in-a-window-bay-15226810/,"Cozy window seat with floral cushions, red and cream pillows, built-in bookshelves, and warm golden curtains creating an inviting reading nook."
Cafe,cafe.jpg,Matt Hoffman,https://stocksnap.io/photo/coffee-latte-VIKHO4EX7S,"A warm cappuccino with latte art rests on a saucer and spoon atop a wooden café table by a window, creating a cozy mood."
,cafe2.jpg,Burst,https://stocksnap.io/photo/barista-pouring-MD4L58LL1E,"Barista pours hot water from a polished gooseneck kettle into glass pour-over coffee drippers at a busy café, creating a focused mood."
Library,library.jpg,Michael D Beckwith,https://www.pexels.com/photo/elegant-library-interior-in-hawarden-wales-31376701/,"Ornate timber library with towering bookshelves, carved balconies, tall windows, and reading tables bathed in warm, scholarly light."
,library2.jpg,Gül Işık,https://www.pexels.com/photo/abundance-of-books-in-library-19036677/,"Floor-to-ceiling shelves fill an ornate, warmly lit library, packed with books and connected by a dark spiral staircase; scholarly and atmospheric."
Office,office.jpg,StockSnap,https://pixabay.com/photos/computer-keyboard-apple-electronics-2565478/,"Modern home office with computer monitor, speakers, keyboard, desk lamp, and chair by a large sunlit window; calm, creative atmosphere."
,office2.jpg,websubs,https://pixabay.com/photos/iocenters-furnished-offices-2673326/,"Modern home office with a black mesh ergonomic chair, white corner desk, computer monitor, filing drawers, lamp, and wastebasket."
Lounge,lounge.jpg,Teruo Kondo,https://www.pexels.com/photo/darkness-living-room-13722826/,"Moody, dimly lit lounge with a curved brown sofa, round black coffee table, large window, hanging drapes, plants, and warm lights."
,lounge2.jpg,Nicolas Lesueur,https://www.pexels.com/photo/cozy-evening-in-a-tropical-lounge-38846830/,"Warm, moody living room with leather armchairs, wood floors, bookshelves, plants, and soft amber lighting creating a cozy atmosphere."
Tavern,tavern.jpg,DonnaSenzaFiato,https://pixabay.com/photos/bar-pub-comfortable-the-atmosphere-3407484/,"Warm, rustic bar interior with a polished wooden counter, glowing candle, glass plates, and softly lit shelves creating a cozy atmosphere."
Manor,manor.jpg,Karam Alani,https://www.pexels.com/photo/elegant-interior-of-castle-howard-room-37150070/,"Elegant antique sitting room with dark patterned walls, ornate furniture, mirror, fireplace, framed art, and a richly colored rug; moody and refined."
,manor2.jpg,V Marin,https://www.pexels.com/photo/crystal-chandelier-in-the-salomon-hall-of-the-palace-on-the-isle-in-warsaw-26776095/,"Elegant historic interior with a marble fireplace, ornate black-and-gold clock, decorative vase, carved furniture, and muted luxurious decor."
Other Rooms,other_rooms.jpg,Max Avans,https://www.pexels.com/photo/brown-wooden-staircase-with-metal-railings-5058836/,"Ornate historic staircase with gilded walls, carved details, and intricate dark wrought-iron railing, lit by a tall window; elegant, regal mood."
,,,,
,,,,
Musical,musical.jpg,Matthew Moloney,https://unsplash.com/photos/black-and-white-electric-keyboard-W9H56HxLIec,"A polished red drum kit with cymbals and microphones sits behind a black electronic keyboard, evoking a professional music studio."
